"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,,,,
[Money amounts are in thousands of dollars],,,,,,,,,,,
Net capital gain (less loss) in AGI:  Number........................,"220,357","50,433","22,963","42,506","43,986","24,239","24,840","11,390",,,
Amount.............................................................................,"2,196,527","82,172","48,521","113,954","171,959","152,859","350,510","1,276,552",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"65,018","19,015","10,807","14,322","11,342","4,674","3,822","1,036",,,
Amount.............................................................................,"514,880","74,259","55,097","93,152","99,826","64,137","86,339","42,070",,,
Pensions and annuities in AGI:  Number.............................,"266,674","85,812","45,204","60,384","44,815","16,261","11,111","3,087",,,
Amount.............................................................................,"3,348,357","574,488","493,444","799,657","732,576","343,459","293,021","111,712",,,
Social Security benefits in AGI:  Number.............................,"91,409","2,330","16,022","33,768","22,040","8,236","6,746","2,267",,,
Amount.............................................................................,"644,374","8,498","28,096","165,365","222,052","100,016","87,712","32,635",,,
Total statutory adjustments:  Number..................................,"216,249","71,316","32,092","47,537","30,678","13,205","14,363","7,058",,,
Amount.............................................................................,"433,906","61,761","44,331","78,443","66,005","41,561","77,217","64,588",,,
Self-employment retirement plans [6]:  Number...............,"8,544",284,369,"1,007","1,665","1,290","2,357","1,572",,,
Amount.........................................................................,"68,883",580,948,"3,220","6,870","7,257","23,659","26,349",,,
Total itemized deductions [7]:Number...................................,"445,009","35,908","49,929","120,877","129,779","55,040","40,054","13,422",,,
Amount.................................................................................,"6,330,720","356,010","456,305","1,262,310","1,646,877","902,457","924,329","782,432",,,
Medical and dental expense:  Number.................................,"81,234","20,800","17,838","25,390","12,729","3,003","1,314",160,,,
Amount.............................................................................,"347,784","105,005","67,847","88,376","50,176","17,780","14,520","4,080",,,
Taxes paid:  Number............................................................,"444,420","34,947","49,886","121,091","129,918","55,083","40,068","13,427",,,
Amount.............................................................................,"2,156,583","59,004","91,129","334,475","546,732","331,901","373,639","419,703",,,
Interest paid:  Number..........................................................,"385,921","25,569","40,844","106,479","118,362","49,391","34,216","11,060",,,
Amount.............................................................................,"2,409,461","128,106","182,030","526,800","669,236","344,439","333,095","225,755",,,
Contributions:  Number........................................................,"400,592","27,258","42,427","106,862","119,813","52,575","38,597","13,060",,,
Amount.............................................................................,"1,206,735","43,786","75,733","214,280","288,539","163,920","180,022","240,455",,,
Taxable income:  Number........................................................,"1,304,695","469,004","262,814","281,024","175,374","60,786","41,912","13,781",,,
Amount.................................................................................,"33,745,111","2,259,400","3,523,221","6,997,052","7,415,214","3,792,411","4,233,744","5,524,069",,,
Total tax credits [8]:Number..................................................,"118,262","20,427","18,188","30,098","27,815","10,127","7,571","4,036",,,
Amount.................................................................................,"60,373","6,567","7,670","12,411","12,686","5,080","5,469","10,490",,,
Child care credit:  Number...................................................,"96,779","16,260","16,872","27,495","24,448","7,519","3,562",623,,,
Amount.............................................................................,"41,147","5,974","7,340","11,469","10,991","3,423","1,609",341,,,
Earned income credit [9]:Number.........................................,"378,979","320,974","58,005",--,--,--,--,0,,,
Amount.................................................................................,"587,939","545,679","42,259",--,--,--,--,1,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"307,055","290,735","16,320",--,--,--,--,0,,,
Amount.............................................................................,"485,080","474,312","10,769",--,--,--,--,-1,,,
Income tax [11]:Number........................................................,"1,296,135","461,284","262,097","280,909","175,351","60,792","41,919","13,783",,,
Amount.................................................................................,"6,692,425","334,703","522,158","1,092,580","1,241,419","752,908","990,997","1,757,660",,,
Total tax liability [12]:Number................................................,"1,340,353","504,025","263,171","281,214","175,415","60,813","41,928","13,787",,,
Amount.................................................................................,"7,034,988","397,958","559,184","1,157,850","1,300,750","786,262","1,041,045","1,791,939",,,
Tax due at time of filing [13]:Number....................................,"376,597","104,900","57,865","86,707","66,057","30,433","22,511","8,124",,,
Amount.................................................................................,"915,700","57,183","48,967","105,602","121,381","90,254","154,928","337,385",,,
Overpayments [14]:Number..................................................,"1,241,858","699,472","203,262","188,431","104,172","27,630","15,734","3,157",,,
Amount.................................................................................,"1,601,057","848,975","204,326","222,690","165,084","59,698","59,557","40,727",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
SOUTH DAKOTA,,,,,,,,0,,,
Number of returns....................................................................,"332,842","170,538","51,228","60,963","32,424","8,702","6,595","2,392",,,
Number of joint returns.........................................................,"150,398","34,903","23,685","46,455","29,423","7,893","5,911","2,128",,,
Number with paid preparer's signature................................,"161,638","73,484","24,543","32,099","18,346","5,733","5,241","2,192",,,
Number of exemptions [3]........................................................,"662,830","228,424","111,114","169,142","100,156","26,624","20,171","7,199",,,
Adjusted gross income (AGI) [4]..............................................,"9,765,474","1,322,450","1,259,216","2,383,761","1,940,118","740,507","875,885","1,243,537",,,
Salaries and wages in AGI:  Number...................................,"276,667","134,980","44,036","54,218","28,769","7,330","5,366","1,968",,,
Amount.............................................................................,"6,758,842","1,166,166","967,040","1,858,929","1,445,402","474,662","444,048","402,595",,,
Taxable interest:  Number....................................................,"193,793","77,657","29,039","42,587","27,665","8,130","6,347","2,368",,,
Amount.............................................................................,"493,609","119,353","59,754","85,507","72,329","35,125","48,331","73,210",,,
Tax-exempt interest [5]:Number........................................,"14,529","2,986","1,750",,"30,572,801","1,363","1,556","-30,565,927",,,
Amount.............................................................................,"108,287","9,505","6,812","16,618","16,235","10,663","17,620","30,834",,,
Dividends:  Number..............................................................,"77,459","24,840","10,384","16,786","13,689","5,086","4,643","2,031",,,
Amount.............................................................................,"197,029","29,401","15,265","26,976","27,408","17,700","27,423","52,856",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"55,254","19,837","9,098","13,542","7,595","2,257","2,111",814,,,
Amount.............................................................................,"442,102","44,649","47,751","89,314","77,997","46,011","79,484","56,896",,,
Number of farm returns........................................................,"37,497","18,610","6,081",,"70,573,502","1,071",901,"-70,562,668",,,
Net capital gain (less loss) in AGI:  Number........................,"77,404","27,101","10,594","15,963","12,370","4,779","4,560","2,037",,,
Amount.............................................................................,"610,552","69,442","32,350","58,158","61,687","37,354","74,612","276,949",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"16,823","6,360","3,178",,"35,932,164",747,588,"-35,926,214",,,
Amount.............................................................................,"90,771","19,742","13,690","18,259","15,987","6,975","10,892","5,226",,,
Pensions and annuities in AGI:  Number.............................,"46,131","17,580","8,271","10,498","6,269","1,818","1,277",418,,,
Amount.............................................................................,"447,794","99,912","77,629","118,432","86,652","30,857","24,949","9,363",,,
Social Security benefits in AGI:  Number.............................,"20,435",595,"4,147","8,075","4,507","1,508","1,218",385,,,
Amount.............................................................................,"133,272","1,927","7,288","39,533","44,846","18,251","15,884","5,543",,,
Total statutory adjustments:  Number..................................,"72,293","25,643","12,571","17,386","8,762","3,066","3,324","1,541",,,
Amount.............................................................................,"142,098","22,619","18,644","30,792","23,242","12,738","21,121","12,942",,,
Self-employment retirement plans [6]:  Number...............,"3,468",150,210,613,928,529,725,313,,,
Amount.........................................................................,"23,273",240,483,"1,877","3,942","3,391","8,205","5,135",,,
Total itemized deductions [7]:Number...................................,"44,771","5,275","4,733","11,483","12,520","4,938","4,255","1,567",,,
Amount.................................................................................,"581,450","64,011","47,734","117,218","139,457","68,021","76,962","68,047",,,
Medical and dental expense:  Number.................................,"11,826","4,217","2,277","3,202","1,577",365,170,18,,,
Amount.............................................................................,"88,787","37,121","16,114","19,758","9,100","3,393","2,847",454,,,
Taxes paid:  Number............................................................,"41,166","3,759","4,074","10,664","12,200","4,794","4,124","1,551",,,
Amount.............................................................................,"102,661","6,265","6,306","18,805","26,320","13,418","15,428","16,119",,,
Interest paid:  Number..........................................................,"36,188","2,386","3,259","9,626","11,461","4,435","3,696","1,325",,,
Amount.............................................................................,"232,820","12,198","14,074","48,341","68,018","30,791","33,072","26,326",,,
Contributions:  Number........................................................,"39,042","3,471","3,700","9,847","11,614","4,719","4,143","1,548",,,
Amount.............................................................................,"124,574","5,513","6,328","17,708","23,763","14,523","21,481","35,258",,,
Taxable income:  Number........................................................,"261,174","99,965","50,345","60,778","32,409","8,697","6,590","2,390",,,
Amount.................................................................................,"6,522,919","441,351","669,775","1,520,092","1,413,029","579,996","732,919","1,165,757",,,
Total tax credits [8]:Number..................................................,"29,409","3,945","4,540","10,465","6,460","1,640","1,540",819,,,
Amount.................................................................................,"14,376",992,"1,532","4,124","2,672",831,"1,134","3,091",,,
Child care credit:  Number...................................................,"22,875","2,568","3,875","9,412","5,315","1,006",592,107,,,
Amount.............................................................................,"8,448",793,"1,281","3,584","2,125",391,225,49,,,
Earned income credit [9]:Number.........................................,"49,495","40,104","9,391",--,--,--,--,0,,,
Amount.................................................................................,"69,489","62,469","7,020",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"37,294","34,476","2,818",--,--,--,--,0,,,
Amount.............................................................................,"53,549","51,644","1,905",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"259,201","98,315","50,082","60,721","32,406","8,697","6,590","2,390",,,
Amount.................................................................................,"1,305,273","65,658","99,186","232,595","237,072","118,507","176,158","376,097",,,
Total tax liability [12]:Number................................................,"272,986","111,614","50,498","60,782","32,410","8,699","6,592","2,391",,,
Amount.................................................................................,"1,419,483","85,191","113,412","258,425","259,280","129,463","190,702","383,010",,,
Tax due at time of filing [13]:Number....................................,"98,301","33,435","15,161","23,341","15,430","5,366","4,084","1,484",,,
Amount.................................................................................,"283,484","16,910","18,121","42,911","46,521","29,317","45,663","84,041",,,
Overpayments [14]:Number..................................................,"214,213","123,637","34,356","35,629","15,671","2,768","1,729",423,,,
Amount.................................................................................,"225,957","112,005","32,713","37,040","21,725","6,108","8,689","7,677",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
TENNESSEE,,,,,,,,0,,,
Number of returns....................................................................,"2,416,153","1,164,830","380,474","433,976","255,703","89,861","66,658","24,651",,,
Number of joint returns.........................................................,"1,035,655","217,452","150,223","284,461","220,341","81,489","59,869","21,820",,,
Number with paid preparer's signature................................,"947,056","405,222","139,784","179,446","115,767","43,997","41,581","21,259",,,
Number of exemptions [3]........................................................,"4,799,196","1,746,969","769,158","1,038,379","712,474","263,330","195,978","72,908",,,
Adjusted gross income (AGI) [4]..............................................,"81,348,080","10,369,504","9,346,584","16,918,624","15,470,188","7,672,170","8,775,998","12,795,012",,,
Salaries and wages in AGI:  Number...................................,"2,116,223","973,176","344,243","401,131","236,933","82,119","58,206","20,415",,,
Amount.............................................................................,"62,412,025","9,057,965","7,924,743","14,474,760","12,952,744","6,119,894","5,972,895","5,909,024",,,
Taxable interest:  Number....................................................,"1,127,377","336,495","160,400","260,147","202,193","80,684","63,238","24,220",,,
Amount.............................................................................,"2,763,009","524,138","271,503","411,065","382,257","216,473","303,782","653,791",,,
Tax-exempt interest [5]:Number........................................,"56,557","8,099","4,672",,"928,610,211","6,366","9,459","-928,582,250",,,
Amount.............................................................................,"564,017","34,704","21,438","55,743","69,477","49,418","97,024","236,213",,,
Dividends:  Number..............................................................,"384,945","91,681","40,291","75,554","76,468","40,335","40,905","19,711",,,
Amount.............................................................................,"1,273,422","118,832","64,815","126,024","154,498","113,296","220,616","475,341",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"356,069","138,228","49,084","71,403","48,547","19,744","20,040","9,023",,,
Amount.............................................................................,"4,076,623","452,411","299,541","518,122","515,816","377,960","862,934","1,049,839",,,
Number of farm returns........................................................,"88,765","30,746","13,190","20,730","13,788","4,418","3,777","2,116",,,
Net capital gain (less loss) in AGI:  Number........................,"313,224","74,239","31,545","58,376","58,849","32,936","37,386","19,893",,,
Amount.............................................................................,"4,108,962","142,007","70,744","164,163","236,963","201,889","467,263","2,825,933",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"88,641","27,125","15,117","19,263","14,642","6,068","4,923","1,503",,,
Amount.............................................................................,"655,142","101,056","76,183","121,595","126,699","76,733","99,359","53,517",,,
Pensions and annuities in AGI:  Number.............................,"340,993","122,958","57,192","72,374","50,725","19,095","14,322","4,327",,,
Amount.............................................................................,"3,808,707","809,027","587,421","871,473","754,228","345,871","326,346","114,341",,,
Social Security benefits in AGI:  Number.............................,"115,983","3,069","21,173","43,403","27,430","9,722","8,134","3,052",,,
Amount.............................................................................,"795,993","10,260","36,063","208,605","272,994","116,144","107,281","44,646",,,
Total statutory adjustments:  Number..................................,"366,263","130,849","52,854","76,497","47,381","20,663","24,516","13,503",,,
Amount.............................................................................,"775,168","103,960","71,264","123,361","107,695","73,009","151,935","143,944",,,
Self-employment retirement plans [6]:  Number...............,"17,048",549,675,,"17,942,955","2,442","5,099","-17,934,672",,,
Amount.........................................................................,"153,624","1,076","1,781",,"593,512,684","15,228","55,107","-593,432,252",,,
Total itemized deductions [7]:Number...................................,"432,147","35,468","42,965","106,369","117,167","60,124","51,606","18,448",,,
Amount.................................................................................,"6,112,583","409,613","497,765","1,079,468","1,363,758","835,552","954,735","971,692",,,
Medical and dental expense:  Number.................................,"70,632","19,993","14,355","20,625","10,994","2,986","1,481",198,,,
Amount.............................................................................,"496,640","161,270","154,052","86,654","53,749","18,734","16,926","5,255",,,
Taxes paid:  Number............................................................,"409,945","30,328","38,451","99,568","113,445","58,924","50,807","18,422",,,
Amount.............................................................................,"703,201","33,200","35,764","102,489","143,995","98,886","133,547","155,320",,,
Interest paid:  Number..........................................................,"383,856","25,222","35,475","95,100","109,021","55,990","46,968","16,080",,,
Amount.............................................................................,"2,955,696","142,388","183,806","545,995","728,980","443,018","488,033","423,476",,,
Contributions:  Number........................................................,"382,405","24,635","34,448","91,372","107,330","57,011","49,499","18,110",,,
Amount.............................................................................,"1,576,562","44,056","69,475","208,390","308,039","205,466","265,947","475,189",,,
Taxable income:  Number........................................................,"1,898,926","652,401","376,851","433,087","255,531","89,814","66,611","24,631",,,
Amount.................................................................................,"55,744,977","3,127,014","5,115,981","11,161,999","11,386,204","5,973,107","7,235,171","11,745,501",,,
Total tax credits [8]:Number..................................................,"157,091","25,428","24,130","40,170","35,088","13,367","11,516","7,392",,,
Amount.................................................................................,"90,055","7,758","9,857","15,698","16,070","7,281","9,236","24,155",,,
Child care credit:  Number...................................................,"126,816","19,427","22,516","37,024","30,934","10,164","5,602","1,149",,,
Amount.............................................................................,"51,269","6,881","9,414","14,246","13,248","4,462","2,445",573,,,
Earned income credit [9]:Number.........................................,"484,909","404,439","80,470",--,--,--,--,0,,,
Amount.................................................................................,"719,839","661,245","58,594",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"380,540","358,573","21,967",--,--,--,--,0,,,
Amount.............................................................................,"576,049","561,460","14,589",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"1,888,523","643,074","375,936","432,939","255,519","89,808","66,615","24,632",,,
Amount.................................................................................,"11,673,544","466,861","759,405","1,747,201","1,953,803","1,218,713","1,727,622","3,799,939",,,
Total tax liability [12]:Number................................................,"1,967,284","720,032","377,295","433,266","255,598","89,827","66,628","24,638",,,
Amount.................................................................................,"12,340,406","583,016","823,039","1,859,455","2,061,061","1,284,738","1,838,150","3,890,947",,,
Tax due at time of filing [13]:Number....................................,"533,070","157,709","76,174","114,535","90,601","43,354","35,840","14,857",,,
Amount.................................................................................,"1,560,058","84,356","74,743","156,102","186,717","142,632","249,802","665,706",,,
Overpayments [14]:Number..................................................,"1,783,199","944,241","297,185","310,523","157,949","42,682","25,179","5,440",,,
Amount.................................................................................,"2,348,153","1,104,265","321,916","398,174","267,619","90,900","93,110","72,169",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
TEXAS,,,,,,,,0,,,
Number of returns....................................................................,"8,243,456","4,053,419","1,205,863","1,355,044","876,450","362,986","294,285","95,409",,,
Number of joint returns.........................................................,"3,436,792","802,662","466,119","785,420","713,843","322,676","262,577","83,495",,,
Number with paid preparer's signature................................,"3,467,023","1,618,873","472,452","565,487","392,702","171,339","167,903","78,267",,,
Number of exemptions [3]........................................................,"17,506,644","6,815,448","2,660,607","3,314,991","2,483,063","1,077,943","872,387","282,205",,,
Adjusted gross income (AGI) [4]..............................................,"289,048,874","33,226,689","29,638,829","52,758,161","53,332,355","31,071,075","38,624,050","50,397,715",,,
Salaries and wages in AGI:  Number...................................,"7,149,803","3,372,809","1,077,210","1,228,918","799,777","331,703","260,505","78,881",,,
Amount.............................................................................,"220,728,507","31,375,412","25,064,328","44,396,148","44,020,845","25,031,666","27,729,823","23,110,285",,,
Taxable interest:  Number....................................................,"3,646,593","1,042,052","470,431","777,021","669,691","318,807","275,580","93,011",,,
Amount.............................................................................,"9,936,861","1,661,647","769,789","1,280,630","1,321,148","818,911","1,276,839","2,807,897",,,
Tax-exempt interest [5]:Number........................................,"253,999","37,809","19,834","40,780","45,840","29,805","46,058","33,873",,,
Amount.............................................................................,"3,127,478","221,531","117,047","288,617","353,452","255,019","532,144","1,359,668",,,
Dividends:  Number..............................................................,"1,426,734","324,292","134,251","258,710","279,382","167,503","185,168","77,428",,,
Amount.............................................................................,"5,733,192","522,160","260,801","527,089","652,537","491,028","974,402","2,305,175",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"1,316,646","523,445","159,948","237,686","185,499","85,695","86,401","37,972",,,
Amount.............................................................................,"13,986,473","1,899,553","988,205","1,711,547","1,781,713","1,297,090","2,860,721","3,447,644",,,
Number of farm returns........................................................,"241,392","77,864","29,207","50,031","41,665","17,362","16,483","8,780",,,
Net capital gain (less loss) in AGI:  Number........................,"1,221,797","281,627","112,030","213,766","228,224","140,110","168,659","77,381",,,
Amount.............................................................................,"14,538,967","573,329","191,206","467,049","711,971","671,071","1,723,380","10,200,961",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"331,758","88,410","51,227","72,541","61,056","28,397","24,097","6,030",,,
Amount.............................................................................,"3,148,563","375,691","290,456","526,723","626,075","422,497","621,919","285,202",,,
Pensions and annuities in AGI:  Number.............................,"1,085,151","337,777","171,150","233,745","185,111","78,785","61,970","16,613",,,
Amount.............................................................................,"13,814,345","2,376,920","1,916,804","3,087,628","2,967,817","1,500,380","1,479,373","485,423",,,
Social Security benefits in AGI:  Number.............................,"395,105","11,180","65,959","137,840","97,133","37,961","33,459","11,573",,,
Amount.............................................................................,"2,864,590","38,666","118,866","694,999","960,952","449,411","435,340","166,356",,,
Total statutory adjustments:  Number..................................,"1,268,628","484,617","162,571","236,334","166,178","79,519","92,127","47,282",,,
Amount.............................................................................,"2,533,288","358,911","213,929","382,667","364,188","246,839","485,152","481,602",,,
Self-employment retirement plans [6]:  Number...............,"61,918","2,330","2,610","7,260","11,190","9,141","17,332","12,055",,,
Amount.........................................................................,"540,468","5,501","7,026","25,630","50,916","56,388","179,046","215,961",,,
Total itemized deductions [7]:Number...................................,"1,508,936","115,433","121,426","320,715","405,041","243,764","230,559","71,998",,,
Amount.................................................................................,"22,538,662","1,517,620","1,255,845","3,373,697","4,850,535","3,459,682","4,346,572","3,734,711",,,
Medical and dental expense:  Number.................................,"254,396","68,096","44,433","70,456","46,764","15,295","8,317","1,035",,,
Amount.............................................................................,"1,672,831","580,161","233,450","337,448","237,129","94,084","90,702","99,857",,,
Taxes paid:  Number............................................................,"1,419,107","93,283","105,786","296,273","389,947","237,850","225,406","70,562",,,
Amount.............................................................................,"4,483,343","213,866","197,511","606,432","960,339","734,582","1,020,813","749,800",,,
Interest paid:  Number..........................................................,"1,312,803","74,092","92,393","274,184","370,209","226,574","211,405","63,946",,,
Amount.............................................................................,"10,334,517","477,474","454,249","1,468,156","2,326,015","1,685,403","2,102,319","1,820,901",,,
Contributions:  Number........................................................,"1,290,837","71,028","92,592","262,195","355,927","224,089","216,210","68,796",,,
Amount.............................................................................,"4,778,669","118,873","178,317","546,756","873,810","668,609","918,827","1,473,477",,,
Taxable income:  Number........................................................,"6,240,748","2,074,529","1,186,831","1,351,489","875,680","362,780","294,096","95,343",,,
Amount.................................................................................,"201,723,436","9,549,916","15,764,765","34,851,645","39,190,482","24,111,564","31,725,447","46,529,617",,,
Total tax credits [8]:Number..................................................,"546,446","83,255","79,152","126,198","121,637","55,777","51,823","28,604",,,
Amount.................................................................................,"415,298","25,589","35,012","58,065","65,174","35,518","55,645","140,295",,,
Child care credit:  Number...................................................,"408,737","58,571","70,918","108,963","101,120","40,708","24,319","4,138",,,
Amount.............................................................................,"179,661","21,633","31,857","46,703","46,752","19,150","11,398","2,168",,,
Earned income credit [9]:Number.........................................,"1,873,158","1,581,945","291,213",--,--,--,--,0,,,
Amount.................................................................................,"3,043,041","2,817,856","225,185",--,--,--,--,0,,,
Excess earned income credit (refundable) [10]:,,,,,,,,0,,,
Number............................................................................,"1,526,885","1,431,724","95,161",--,--,--,--,0,,,
Amount.............................................................................,"2,486,304","2,419,646","66,658",--,--,--,--,0,,,
Income tax [11]:Number........................................................,"6,203,890","2,042,204","1,183,076","1,350,750","875,610","362,783","294,110","95,357",,,
Amount.................................................................................,"43,751,070","1,427,513","2,335,382","5,527,840","6,817,636","4,928,364","7,556,676","15,157,659",,,
Total tax liability [12]:Number................................................,"6,523,765","2,354,394","1,188,828","1,352,165","875,937","362,871","294,184","95,386",,,
Amount.................................................................................,"46,030,840","1,881,694","2,537,513","5,886,266","7,182,148","5,155,833","7,921,120","15,466,266",,,
Tax due at time of filing [13]:Number....................................,"1,934,076","532,905","264,118","408,315","336,115","180,656","156,543","55,424",,,
Amount.................................................................................,"5,734,470","288,291","253,368","554,305","683,414","557,339","989,571","2,408,182",,,
Overpayments [14]:Number..................................................,"5,915,041","3,279,991","913,837","910,396","510,223","165,795","113,602","21,197",,,
Amount.................................................................................,"8,301,953","4,246,474","977,482","1,132,362","857,751","359,580","411,234","317,070",,,
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,,0,,,
[Money amounts are in thousands of dollars],,,,,,,,0,,,
,,,,,Size of adjusted gross income,,,0,,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,
,,"$20,000 [1]",under,under,under,under,under,or more,,,
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 ",,,,
,-1,-2,-3,-4,-5,-6,-7,-8,,,
UTAH,,,,,,,,0,,,
Number of returns....................................................................,"847,478","388,651","119,450","163,840","106,241","35,982","24,790","8,524",,,
Number of joint returns.........................................................,"399,582","65,270","57,721","117,508","95,154","33,435","22,806","7,688",,,
Number with paid preparer's signature................................,"382,204","140,735","55,823","84,871","56,771","20,170","16,544","7,290",,,
Number of exemptions [3]........................................................,"1,895,606","483,312","278,194","500,211","380,217","130,665","91,411","31,596",,,
Adjusted gross income (AGI) [4]..............................................,"29,962,297","3,260,506","2,952,843","6,427,662","6,428,851","3,063,554","3,256,442","4,572,439",,,
Salaries and wages in AGI:  Number...................................,"745,601","329,918","104,636","150,011","98,583","33,153","22,007","7,293",,,
Amount.............................................................................,"22,244,039","2,862,395","2,403,757","5,394,481","5,330,285","2,398,075","2,156,749","1,698,297",,,
Taxable interest:  Number....................................................,"494,517","154,285","65,853","116,772","91,716","33,582","23,913","8,396",,,
Amount.............................................................................,"869,936","142,234","74,543","125,016","124,635","73,110","106,765","223,633",,,
Tax-exempt interest [5]:Number........................................,"22,315","4,285","2,034",,"39,444,118","2,326","3,174","-39,433,622",,,
Amount.............................................................................,"154,432","12,073","7,114","16,981","20,526","14,067","26,486","57,185",,,
Dividends:  Number..............................................................,"151,866","37,779","16,511","30,916","31,224","15,279","13,960","6,197",,,
Amount.............................................................................,"485,897","48,707","27,051","49,646","58,810","40,620","68,308","192,755",,,
Business or profession net income (less loss):,,,,,,,,0,,,
Number............................................................................,"134,382","38,244","18,873","34,265","24,048","8,812","7,390","2,750",,,
Amount.............................................................................,"1,060,333","85,440","80,071","163,975","169,868","116,460","228,190","216,329",,,
Number of farm returns........................................................,"15,364","4,370","2,216",,"38,012,900",958,769,"-38,005,849",,,
Net capital gain (less loss) in AGI:  Number........................,"135,925","33,051","14,494","27,300","26,829","13,718","13,954","6,579",,,
Amount.............................................................................,"1,554,536","64,369","34,837","74,700","109,211","94,222","201,926","975,271",,,
Taxable Individual Retirement Arrangements,,,,,,,,0,,,
distributions [6]:  Number.................................................,"35,940","9,751","6,164","8,636","6,567","2,541","1,822",459,,,
Amount.............................................................................,"264,305","36,114","29,230","50,949","55,342","31,763","40,007","20,900",,,
Pensions and annuities in AGI:  Number.............................,"124,183","37,722","21,357","29,222","21,504","7,725","5,170","1,483",,,
Amount.............................................................................,"1,646,009","291,973","268,746","415,118","352,145","151,601","120,234","46,192",,,
Social Security benefits in AGI:  Number.............................,"42,893",969,"7,544","16,343","10,527","3,688","2,860",962,,,
Amount.............................................................................,"291,486","3,344","12,321","75,712","104,732","44,456","37,426","13,495",,,
Total statutory adjustments:  Number..................................,"125,605","34,340","17,803","31,406","20,591","8,589","8,763","4,113",,,
Amount.............................................................................,"244,536","29,773","23,537","47,070","40,407","24,974","43,925","34,850",,,
Self-employment retirement plans [6]:  Number...............,"5,018",211,272,669,"1,013",735,"1,370",748,,,
Amount.........................................................................,"40,267",434,691,"2,358","4,372","4,673","14,257","13,482",,,
Total itemized deductions [7]:Number...................................,"298,121","21,117","30,380","92,838","88,228","33,462","23,857","8,239",,,
Amount.................................................................................,"4,883,461","230,249","304,361","1,140,335","1,289,218","632,449","634,220","652,629",,,
Medical and dental expense:  Number.................................,"41,906","11,121","9,098","14,025","5,875","1,265",492,30,,,
Amount.............................................................................,"199,246","46,742","28,562","93,947","19,057","5,932","4,054",952,,,
Taxes paid:  Number............................................................,"297,778","20,701","30,363","92,944","88,244","33,449","23,838","8,239",,,
Amount.............................................................................,"1,401,284","33,785","58,107","259,510","370,308","196,288","213,019","270,267",,,
Interest paid:  Number..........................................................,"260,750","15,422","25,549","82,915","79,824","29,871","20,530","6,639",,,
Amount.............................................................................,"1,856,269","103,199","138,430","484,956","518,846","233,374","216,763","160,701",,,
Contributions:  Number........................................................,"272,936","16,209","26,361","84,198","83,165","32,107","22,958","7,938",,,
