"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
Amount.............................................................................,"382,301","39,456","22,301","42,945","50,760","36,890","64,444"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"58,513","18,775","7,507","12,648","9,914","4,244","3,983"
Amount.............................................................................,"685,623","88,018","56,381","109,413","100,465","63,259","138,316"
Number of farm returns........................................................,572,181,72,,11384,48,45
Net capital gain (less loss) in AGI:  Number........................,"80,098","18,779","8,060","15,292","15,826","8,958","9,234"
Amount.............................................................................,"612,629","22,217","14,271","34,461","54,310","47,427","107,285"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"26,395","9,530","4,390",,"52,593,894","1,585","1,387"
Amount.............................................................................,"169,930","33,647","20,740","29,686","31,275","18,036","23,822"
Pensions and annuities in AGI:  Number.............................,"73,108","26,754","11,724","14,891","11,086","4,409","3,353"
Amount.............................................................................,"916,297","179,061","132,108","207,313","186,849","94,574","84,846"
Social Security benefits in AGI:  Number.............................,"29,895",695,"5,610","11,120","7,175","2,507","2,141"
Amount.............................................................................,"206,400","2,167","9,457","55,677","70,287","30,223","28,941"
Total statutory adjustments:  Number..................................,"70,535","20,235","10,303","16,286","10,881","4,844","5,353"
Amount.............................................................................,"155,200","20,179","15,698","28,063","23,172","14,393","29,472"
Self-employment retirement plans [6]:  Number...............,"4,436",194,206,,565891,660,"1,257"
Amount.........................................................................,"33,345",429,495,,"18,403,464","3,488","12,462"
Total itemized deductions [7]:Number...................................,"152,306","12,010","14,441","41,033","44,450","20,592","15,051"
Amount.................................................................................,"2,393,966","167,036","144,459","461,021","596,075","347,159","359,629"
Medical and dental expense:  Number.................................,"18,270","6,116","3,938",,"50,182,244",586,327
Amount.............................................................................,"135,681","70,762","17,262","22,540","12,742","5,368","5,500"
Taxes paid:  Number............................................................,"151,931","11,613","14,410","41,073","44,482","20,582","15,046"
Amount.............................................................................,"1,040,130","34,849","46,432","168,420","245,622","155,637","177,702"
Interest paid:  Number..........................................................,"132,198","8,531","12,195","36,553","40,131","18,227","12,706"
Amount.............................................................................,"910,614","48,419","63,156","210,828","258,450","134,338","123,037"
Contributions:  Number........................................................,"140,673","8,633","12,500","37,714","42,439","20,061","14,676"
Amount.............................................................................,"241,733","6,942","10,360","35,364","49,915","33,409","39,983"
Taxable income:  Number........................................................,"377,009","124,357","67,306","85,323","57,508","22,283","15,445"
Amount.................................................................................,"10,942,325","603,993","957,192","2,159,941","2,408,328","1,382,875","1,546,760"
Total tax credits [8]:Number..................................................,"25,912","3,438","2,768","5,525","6,275","3,278","2,967"
Amount.................................................................................,"16,028",762,"1,089","2,454","2,737","1,488","1,691"
Child care credit:  Number...................................................,"15,796","1,602","2,026","3,878","4,678","2,195","1,203"
Amount.............................................................................,"6,441",537,826,"1,483","1,939","1,004",545
Earned income credit [9]:Number.........................................,"58,322","48,882","9,440",--,--,--,--
Amount.................................................................................,"75,951","69,431","6,521",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"44,415","41,893","2,522",--,--,--,--
Amount.............................................................................,"60,007","58,366","1,641",--,--,--,--
Income tax [11]:Number........................................................,"375,954","123,471","67,189","85,275","57,497","22,286","15,446"
Amount.................................................................................,"2,232,633","90,689","142,755","344,443","409,462","275,124","362,511"
Total tax liability [12]:Number................................................,"385,169","132,225","67,534","85,360","57,519","22,290","15,450"
Amount.................................................................................,"2,336,449","107,441","152,831","363,928","427,772","285,700","380,312"
Tax due at time of filing [13]:Number....................................,"103,650","32,771","13,808","21,419","16,866","8,926","7,272"
Amount.................................................................................,"249,237","16,291","12,618","27,577","31,751","24,617","44,918"
Overpayments [14]:Number..................................................,"329,784","155,524","52,843","62,056","38,931","12,434","6,771"
Amount.................................................................................,"414,781","138,409","51,001","85,273","72,539","28,708","25,006"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
SOUTH CAROLINA,,,,,,,
Number of returns....................................................................,"1,681,507","841,479","266,080","281,864","175,517","60,839","41,939"
Number of joint returns.........................................................,"653,468","125,327","91,762","176,453","153,475","56,013","38,074"
Number with paid preparer's signature................................,"870,723","399,064","137,537","157,327","100,964","34,872","28,612"
Number of exemptions [3]........................................................,"3,350,268","1,286,468","540,678","684,958","497,931","178,657","121,413"
Adjusted gross income (AGI) [4]..............................................,"53,031,299","7,912,603","6,517,624","10,980,496","10,627,795","5,186,038","5,473,288"
Salaries and wages in AGI:  Number...................................,"1,490,071","727,628","240,594","257,578","161,370","55,018","36,386"
Amount.............................................................................,"40,324,237","6,859,435","5,494,292","9,093,254","8,623,794","3,990,893","3,566,308"
Taxable interest:  Number....................................................,"749,438","214,079","109,919","173,298","142,321","55,899","40,299"
Amount.............................................................................,"1,489,661","265,840","150,241","236,359","230,803","132,502","186,933"
Tax-exempt interest [5]:Number........................................,"48,929","6,883","4,389","8,979","9,782","6,037","7,637"
Amount.............................................................................,"429,885","25,638","19,083","51,540","61,973","47,699","82,893"
Dividends:  Number..............................................................,"286,942","66,658","31,611","58,206","60,077","30,867","27,998"
Amount.............................................................................,"1,012,245","96,652","58,429","116,173","145,941","112,647","191,196"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"208,725","76,157","29,290","44,100","31,436","12,264","11,021"
Amount.............................................................................,"1,842,695","248,206","159,507","279,072","259,677","171,611","372,208"
Number of farm returns........................................................,"22,686","6,200","2,910","5,054","4,278","1,765","1,599"
Net capital gain (less loss) in AGI:  Number........................,"220,357","50,433","22,963","42,506","43,986","24,239","24,840"
Amount.............................................................................,"2,196,527","82,172","48,521","113,954","171,959","152,859","350,510"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"65,018","19,015","10,807","14,322","11,342","4,674","3,822"
Amount.............................................................................,"514,880","74,259","55,097","93,152","99,826","64,137","86,339"
Pensions and annuities in AGI:  Number.............................,"266,674","85,812","45,204","60,384","44,815","16,261","11,111"
Amount.............................................................................,"3,348,357","574,488","493,444","799,657","732,576","343,459","293,021"
Social Security benefits in AGI:  Number.............................,"91,409","2,330","16,022","33,768","22,040","8,236","6,746"
Amount.............................................................................,"644,374","8,498","28,096","165,365","222,052","100,016","87,712"
Total statutory adjustments:  Number..................................,"216,249","71,316","32,092","47,537","30,678","13,205","14,363"
Amount.............................................................................,"433,906","61,761","44,331","78,443","66,005","41,561","77,217"
Self-employment retirement plans [6]:  Number...............,"8,544",284,369,"1,007","1,665","1,290","2,357"
Amount.........................................................................,"68,883",580,948,"3,220","6,870","7,257","23,659"
Total itemized deductions [7]:Number...................................,"445,009","35,908","49,929","120,877","129,779","55,040","40,054"
Amount.................................................................................,"6,330,720","356,010","456,305","1,262,310","1,646,877","902,457","924,329"
Medical and dental expense:  Number.................................,"81,234","20,800","17,838","25,390","12,729","3,003","1,314"
Amount.............................................................................,"347,784","105,005","67,847","88,376","50,176","17,780","14,520"
Taxes paid:  Number............................................................,"444,420","34,947","49,886","121,091","129,918","55,083","40,068"
Amount.............................................................................,"2,156,583","59,004","91,129","334,475","546,732","331,901","373,639"
Interest paid:  Number..........................................................,"385,921","25,569","40,844","106,479","118,362","49,391","34,216"
Amount.............................................................................,"2,409,461","128,106","182,030","526,800","669,236","344,439","333,095"
Contributions:  Number........................................................,"400,592","27,258","42,427","106,862","119,813","52,575","38,597"
Amount.............................................................................,"1,206,735","43,786","75,733","214,280","288,539","163,920","180,022"
Taxable income:  Number........................................................,"1,304,695","469,004","262,814","281,024","175,374","60,786","41,912"
Amount.................................................................................,"33,745,111","2,259,400","3,523,221","6,997,052","7,415,214","3,792,411","4,233,744"
Total tax credits [8]:Number..................................................,"118,262","20,427","18,188","30,098","27,815","10,127","7,571"
Amount.................................................................................,"60,373","6,567","7,670","12,411","12,686","5,080","5,469"
Child care credit:  Number...................................................,"96,779","16,260","16,872","27,495","24,448","7,519","3,562"
Amount.............................................................................,"41,147","5,974","7,340","11,469","10,991","3,423","1,609"
Earned income credit [9]:Number.........................................,"378,979","320,974","58,005",--,--,--,--
Amount.................................................................................,"587,939","545,679","42,259",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"307,055","290,735","16,320",--,--,--,--
Amount.............................................................................,"485,080","474,312","10,769",--,--,--,--
Income tax [11]:Number........................................................,"1,296,135","461,284","262,097","280,909","175,351","60,792","41,919"
Amount.................................................................................,"6,692,425","334,703","522,158","1,092,580","1,241,419","752,908","990,997"
Total tax liability [12]:Number................................................,"1,340,353","504,025","263,171","281,214","175,415","60,813","41,928"
Amount.................................................................................,"7,034,988","397,958","559,184","1,157,850","1,300,750","786,262","1,041,045"
Tax due at time of filing [13]:Number....................................,"376,597","104,900","57,865","86,707","66,057","30,433","22,511"
Amount.................................................................................,"915,700","57,183","48,967","105,602","121,381","90,254","154,928"
Overpayments [14]:Number..................................................,"1,241,858","699,472","203,262","188,431","104,172","27,630","15,734"
Amount.................................................................................,"1,601,057","848,975","204,326","222,690","165,084","59,698","59,557"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
SOUTH DAKOTA,,,,,,,
Number of returns....................................................................,"332,842","170,538","51,228","60,963","32,424","8,702","6,595"
Number of joint returns.........................................................,"150,398","34,903","23,685","46,455","29,423","7,893","5,911"
Number with paid preparer's signature................................,"161,638","73,484","24,543","32,099","18,346","5,733","5,241"
Number of exemptions [3]........................................................,"662,830","228,424","111,114","169,142","100,156","26,624","20,171"
Adjusted gross income (AGI) [4]..............................................,"9,765,474","1,322,450","1,259,216","2,383,761","1,940,118","740,507","875,885"
Salaries and wages in AGI:  Number...................................,"276,667","134,980","44,036","54,218","28,769","7,330","5,366"
Amount.............................................................................,"6,758,842","1,166,166","967,040","1,858,929","1,445,402","474,662","444,048"
Taxable interest:  Number....................................................,"193,793","77,657","29,039","42,587","27,665","8,130","6,347"
Amount.............................................................................,"493,609","119,353","59,754","85,507","72,329","35,125","48,331"
Tax-exempt interest [5]:Number........................................,"14,529","2,986","1,750",,"30,572,801","1,363","1,556"
Amount.............................................................................,"108,287","9,505","6,812","16,618","16,235","10,663","17,620"
Dividends:  Number..............................................................,"77,459","24,840","10,384","16,786","13,689","5,086","4,643"
Amount.............................................................................,"197,029","29,401","15,265","26,976","27,408","17,700","27,423"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"55,254","19,837","9,098","13,542","7,595","2,257","2,111"
Amount.............................................................................,"442,102","44,649","47,751","89,314","77,997","46,011","79,484"
Number of farm returns........................................................,"37,497","18,610","6,081",,"70,573,502","1,071",901
Net capital gain (less loss) in AGI:  Number........................,"77,404","27,101","10,594","15,963","12,370","4,779","4,560"
Amount.............................................................................,"610,552","69,442","32,350","58,158","61,687","37,354","74,612"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"16,823","6,360","3,178",,"35,932,164",747,588
Amount.............................................................................,"90,771","19,742","13,690","18,259","15,987","6,975","10,892"
Pensions and annuities in AGI:  Number.............................,"46,131","17,580","8,271","10,498","6,269","1,818","1,277"
Amount.............................................................................,"447,794","99,912","77,629","118,432","86,652","30,857","24,949"
Social Security benefits in AGI:  Number.............................,"20,435",595,"4,147","8,075","4,507","1,508","1,218"
Amount.............................................................................,"133,272","1,927","7,288","39,533","44,846","18,251","15,884"
Total statutory adjustments:  Number..................................,"72,293","25,643","12,571","17,386","8,762","3,066","3,324"
Amount.............................................................................,"142,098","22,619","18,644","30,792","23,242","12,738","21,121"
Self-employment retirement plans [6]:  Number...............,"3,468",150,210,613,928,529,725
Amount.........................................................................,"23,273",240,483,"1,877","3,942","3,391","8,205"
Total itemized deductions [7]:Number...................................,"44,771","5,275","4,733","11,483","12,520","4,938","4,255"
Amount.................................................................................,"581,450","64,011","47,734","117,218","139,457","68,021","76,962"
Medical and dental expense:  Number.................................,"11,826","4,217","2,277","3,202","1,577",365,170
Amount.............................................................................,"88,787","37,121","16,114","19,758","9,100","3,393","2,847"
Taxes paid:  Number............................................................,"41,166","3,759","4,074","10,664","12,200","4,794","4,124"
Amount.............................................................................,"102,661","6,265","6,306","18,805","26,320","13,418","15,428"
Interest paid:  Number..........................................................,"36,188","2,386","3,259","9,626","11,461","4,435","3,696"
Amount.............................................................................,"232,820","12,198","14,074","48,341","68,018","30,791","33,072"
Contributions:  Number........................................................,"39,042","3,471","3,700","9,847","11,614","4,719","4,143"
Amount.............................................................................,"124,574","5,513","6,328","17,708","23,763","14,523","21,481"
Taxable income:  Number........................................................,"261,174","99,965","50,345","60,778","32,409","8,697","6,590"
Amount.................................................................................,"6,522,919","441,351","669,775","1,520,092","1,413,029","579,996","732,919"
Total tax credits [8]:Number..................................................,"29,409","3,945","4,540","10,465","6,460","1,640","1,540"
Amount.................................................................................,"14,376",992,"1,532","4,124","2,672",831,"1,134"
Child care credit:  Number...................................................,"22,875","2,568","3,875","9,412","5,315","1,006",592
Amount.............................................................................,"8,448",793,"1,281","3,584","2,125",391,225
Earned income credit [9]:Number.........................................,"49,495","40,104","9,391",--,--,--,--
Amount.................................................................................,"69,489","62,469","7,020",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"37,294","34,476","2,818",--,--,--,--
Amount.............................................................................,"53,549","51,644","1,905",--,--,--,--
Income tax [11]:Number........................................................,"259,201","98,315","50,082","60,721","32,406","8,697","6,590"
Amount.................................................................................,"1,305,273","65,658","99,186","232,595","237,072","118,507","176,158"
Total tax liability [12]:Number................................................,"272,986","111,614","50,498","60,782","32,410","8,699","6,592"
Amount.................................................................................,"1,419,483","85,191","113,412","258,425","259,280","129,463","190,702"
Tax due at time of filing [13]:Number....................................,"98,301","33,435","15,161","23,341","15,430","5,366","4,084"
Amount.................................................................................,"283,484","16,910","18,121","42,911","46,521","29,317","45,663"
Overpayments [14]:Number..................................................,"214,213","123,637","34,356","35,629","15,671","2,768","1,729"
Amount.................................................................................,"225,957","112,005","32,713","37,040","21,725","6,108","8,689"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
TENNESSEE,,,,,,,
Number of returns....................................................................,"2,416,153","1,164,830","380,474","433,976","255,703","89,861","66,658"
Number of joint returns.........................................................,"1,035,655","217,452","150,223","284,461","220,341","81,489","59,869"
Number with paid preparer's signature................................,"947,056","405,222","139,784","179,446","115,767","43,997","41,581"
Number of exemptions [3]........................................................,"4,799,196","1,746,969","769,158","1,038,379","712,474","263,330","195,978"
Adjusted gross income (AGI) [4]..............................................,"81,348,080","10,369,504","9,346,584","16,918,624","15,470,188","7,672,170","8,775,998"
Salaries and wages in AGI:  Number...................................,"2,116,223","973,176","344,243","401,131","236,933","82,119","58,206"
Amount.............................................................................,"62,412,025","9,057,965","7,924,743","14,474,760","12,952,744","6,119,894","5,972,895"
Taxable interest:  Number....................................................,"1,127,377","336,495","160,400","260,147","202,193","80,684","63,238"
Amount.............................................................................,"2,763,009","524,138","271,503","411,065","382,257","216,473","303,782"
Tax-exempt interest [5]:Number........................................,"56,557","8,099","4,672",,"928,610,211","6,366","9,459"
Amount.............................................................................,"564,017","34,704","21,438","55,743","69,477","49,418","97,024"
Dividends:  Number..............................................................,"384,945","91,681","40,291","75,554","76,468","40,335","40,905"
Amount.............................................................................,"1,273,422","118,832","64,815","126,024","154,498","113,296","220,616"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"356,069","138,228","49,084","71,403","48,547","19,744","20,040"
Amount.............................................................................,"4,076,623","452,411","299,541","518,122","515,816","377,960","862,934"
Number of farm returns........................................................,"88,765","30,746","13,190","20,730","13,788","4,418","3,777"
Net capital gain (less loss) in AGI:  Number........................,"313,224","74,239","31,545","58,376","58,849","32,936","37,386"
Amount.............................................................................,"4,108,962","142,007","70,744","164,163","236,963","201,889","467,263"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"88,641","27,125","15,117","19,263","14,642","6,068","4,923"
Amount.............................................................................,"655,142","101,056","76,183","121,595","126,699","76,733","99,359"
Pensions and annuities in AGI:  Number.............................,"340,993","122,958","57,192","72,374","50,725","19,095","14,322"
Amount.............................................................................,"3,808,707","809,027","587,421","871,473","754,228","345,871","326,346"
Social Security benefits in AGI:  Number.............................,"115,983","3,069","21,173","43,403","27,430","9,722","8,134"
Amount.............................................................................,"795,993","10,260","36,063","208,605","272,994","116,144","107,281"
Total statutory adjustments:  Number..................................,"366,263","130,849","52,854","76,497","47,381","20,663","24,516"
Amount.............................................................................,"775,168","103,960","71,264","123,361","107,695","73,009","151,935"
Self-employment retirement plans [6]:  Number...............,"17,048",549,675,,"17,942,955","2,442","5,099"
Amount.........................................................................,"153,624","1,076","1,781",,"593,512,684","15,228","55,107"
Total itemized deductions [7]:Number...................................,"432,147","35,468","42,965","106,369","117,167","60,124","51,606"
Amount.................................................................................,"6,112,583","409,613","497,765","1,079,468","1,363,758","835,552","954,735"
Medical and dental expense:  Number.................................,"70,632","19,993","14,355","20,625","10,994","2,986","1,481"
Amount.............................................................................,"496,640","161,270","154,052","86,654","53,749","18,734","16,926"
Taxes paid:  Number............................................................,"409,945","30,328","38,451","99,568","113,445","58,924","50,807"
Amount.............................................................................,"703,201","33,200","35,764","102,489","143,995","98,886","133,547"
Interest paid:  Number..........................................................,"383,856","25,222","35,475","95,100","109,021","55,990","46,968"
Amount.............................................................................,"2,955,696","142,388","183,806","545,995","728,980","443,018","488,033"
Contributions:  Number........................................................,"382,405","24,635","34,448","91,372","107,330","57,011","49,499"
Amount.............................................................................,"1,576,562","44,056","69,475","208,390","308,039","205,466","265,947"
Taxable income:  Number........................................................,"1,898,926","652,401","376,851","433,087","255,531","89,814","66,611"
Amount.................................................................................,"55,744,977","3,127,014","5,115,981","11,161,999","11,386,204","5,973,107","7,235,171"
Total tax credits [8]:Number..................................................,"157,091","25,428","24,130","40,170","35,088","13,367","11,516"
Amount.................................................................................,"90,055","7,758","9,857","15,698","16,070","7,281","9,236"
Child care credit:  Number...................................................,"126,816","19,427","22,516","37,024","30,934","10,164","5,602"
Amount.............................................................................,"51,269","6,881","9,414","14,246","13,248","4,462","2,445"
Earned income credit [9]:Number.........................................,"484,909","404,439","80,470",--,--,--,--
Amount.................................................................................,"719,839","661,245","58,594",--,--,--,--
Excess earned income credit (refundable) [10]:,,,,,,,
Number............................................................................,"380,540","358,573","21,967",--,--,--,--
Amount.............................................................................,"576,049","561,460","14,589",--,--,--,--
Income tax [11]:Number........................................................,"1,888,523","643,074","375,936","432,939","255,519","89,808","66,615"
Amount.................................................................................,"11,673,544","466,861","759,405","1,747,201","1,953,803","1,218,713","1,727,622"
Total tax liability [12]:Number................................................,"1,967,284","720,032","377,295","433,266","255,598","89,827","66,628"
Amount.................................................................................,"12,340,406","583,016","823,039","1,859,455","2,061,061","1,284,738","1,838,150"
Tax due at time of filing [13]:Number....................................,"533,070","157,709","76,174","114,535","90,601","43,354","35,840"
Amount.................................................................................,"1,560,058","84,356","74,743","156,102","186,717","142,632","249,802"
Overpayments [14]:Number..................................................,"1,783,199","944,241","297,185","310,523","157,949","42,682","25,179"
Amount.................................................................................,"2,348,153","1,104,265","321,916","398,174","267,619","90,900","93,110"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
TEXAS,,,,,,,
Number of returns....................................................................,"8,243,456","4,053,419","1,205,863","1,355,044","876,450","362,986","294,285"
Number of joint returns.........................................................,"3,436,792","802,662","466,119","785,420","713,843","322,676","262,577"
Number with paid preparer's signature................................,"3,467,023","1,618,873","472,452","565,487","392,702","171,339","167,903"
Number of exemptions [3]........................................................,"17,506,644","6,815,448","2,660,607","3,314,991","2,483,063","1,077,943","872,387"
Adjusted gross income (AGI) [4]..............................................,"289,048,874","33,226,689","29,638,829","52,758,161","53,332,355","31,071,075","38,624,050"
Salaries and wages in AGI:  Number...................................,"7,149,803","3,372,809","1,077,210","1,228,918","799,777","331,703","260,505"
Amount.............................................................................,"220,728,507","31,375,412","25,064,328","44,396,148","44,020,845","25,031,666","27,729,823"
Taxable interest:  Number....................................................,"3,646,593","1,042,052","470,431","777,021","669,691","318,807","275,580"
Amount.............................................................................,"9,936,861","1,661,647","769,789","1,280,630","1,321,148","818,911","1,276,839"
Tax-exempt interest [5]:Number........................................,"253,999","37,809","19,834","40,780","45,840","29,805","46,058"
Amount.............................................................................,"3,127,478","221,531","117,047","288,617","353,452","255,019","532,144"
Dividends:  Number..............................................................,"1,426,734","324,292","134,251","258,710","279,382","167,503","185,168"
Amount.............................................................................,"5,733,192","522,160","260,801","527,089","652,537","491,028","974,402"
Business or profession net income (less loss):,,,,,,,
Number............................................................................,"1,316,646","523,445","159,948","237,686","185,499","85,695","86,401"
Amount.............................................................................,"13,986,473","1,899,553","988,205","1,711,547","1,781,713","1,297,090","2,860,721"
Number of farm returns........................................................,"241,392","77,864","29,207","50,031","41,665","17,362","16,483"
Net capital gain (less loss) in AGI:  Number........................,"1,221,797","281,627","112,030","213,766","228,224","140,110","168,659"
Amount.............................................................................,"14,538,967","573,329","191,206","467,049","711,971","671,071","1,723,380"
Taxable Individual Retirement Arrangements,,,,,,,
distributions [6]:  Number.................................................,"331,758","88,410","51,227","72,541","61,056","28,397","24,097"
Amount.............................................................................,"3,148,563","375,691","290,456","526,723","626,075","422,497","621,919"
Pensions and annuities in AGI:  Number.............................,"1,085,151","337,777","171,150","233,745","185,111","78,785","61,970"
Amount.............................................................................,"13,814,345","2,376,920","1,916,804","3,087,628","2,967,817","1,500,380","1,479,373"
Social Security benefits in AGI:  Number.............................,"395,105","11,180","65,959","137,840","97,133","37,961","33,459"
Amount.............................................................................,"2,864,590","38,666","118,866","694,999","960,952","449,411","435,340"
Total statutory adjustments:  Number..................................,"1,268,628","484,617","162,571","236,334","166,178","79,519","92,127"
Amount.............................................................................,"2,533,288","358,911","213,929","382,667","364,188","246,839","485,152"
Self-employment retirement plans [6]:  Number...............,"61,918","2,330","2,610","7,260","11,190","9,141","17,332"
Amount.........................................................................,"540,468","5,501","7,026","25,630","50,916","56,388","179,046"
Total itemized deductions [7]:Number...................................,"1,508,936","115,433","121,426","320,715","405,041","243,764","230,559"
Amount.................................................................................,"22,538,662","1,517,620","1,255,845","3,373,697","4,850,535","3,459,682","4,346,572"
Medical and dental expense:  Number.................................,"254,396","68,096","44,433","70,456","46,764","15,295","8,317"
Amount.............................................................................,"1,672,831","580,161","233,450","337,448","237,129","94,084","90,702"
Taxes paid:  Number............................................................,"1,419,107","93,283","105,786","296,273","389,947","237,850","225,406"
Amount.............................................................................,"4,483,343","213,866","197,511","606,432","960,339","734,582","1,020,813"
Interest paid:  Number..........................................................,"1,312,803","74,092","92,393","274,184","370,209","226,574","211,405"
Amount.............................................................................,"10,334,517","477,474","454,249","1,468,156","2,326,015","1,685,403","2,102,319"
Contributions:  Number........................................................,"1,290,837","71,028","92,592","262,195","355,927","224,089","216,210"
Amount.............................................................................,"4,778,669","118,873","178,317","546,756","873,810","668,609","918,827"
Taxable income:  Number........................................................,"6,240,748","2,074,529","1,186,831","1,351,489","875,680","362,780","294,096"
Amount.................................................................................,"201,723,436","9,549,916","15,764,765","34,851,645","39,190,482","24,111,564","31,725,447"
Total tax credits [8]:Number..................................................,"546,446","83,255","79,152","126,198","121,637","55,777","51,823"
Amount.................................................................................,"415,298","25,589","35,012","58,065","65,174","35,518","55,645"
Child care credit:  Number...................................................,"408,737","58,571","70,918","108,963","101,120","40,708","24,319"
Amount.............................................................................,"179,661","21,633","31,857","46,703","46,752","19,150","11,398"
Earned income credit [9]:Number.........................................,"1,873,158","1,581,945","291,213",--,--,--,--
Amount.................................................................................,"3,043,041","2,817,856","225,185",--,--,--,--
Number............................................................................,"1,526,885","1,431,724","95,161",--,--,--,--
Amount.............................................................................,"2,486,304","2,419,646","66,658",--,--,--,--
Income tax [11]:Number........................................................,"6,203,890","2,042,204","1,183,076","1,350,750","875,610","362,783","294,110"
Amount.................................................................................,"43,751,070","1,427,513","2,335,382","5,527,840","6,817,636","4,928,364","7,556,676"
Total tax liability [12]:Number................................................,"6,523,765","2,354,394","1,188,828","1,352,165","875,937","362,871","294,184"
Amount.................................................................................,"46,030,840","1,881,694","2,537,513","5,886,266","7,182,148","5,155,833","7,921,120"
Tax due at time of filing [13]:Number....................................,"1,934,076","532,905","264,118","408,315","336,115","180,656","156,543"
Amount.................................................................................,"5,734,470","288,291","253,368","554,305","683,414","557,339","989,571"
Overpayments [14]:Number..................................................,"5,915,041","3,279,991","913,837","910,396","510,223","165,795","113,602"
Amount.................................................................................,"8,301,953","4,246,474","977,482","1,132,362","857,751","359,580","411,234"
"Table 2.--Individual Income and Tax Data, by State and Size of Adjusted Gross Income, Tax Year 1996",,,,,,,
[Money amounts are in thousands of dollars],,,,,,,
,,,,,Size of adjusted gross income,,
State and item,All returns,Under,"$20,000 ","$30,000 ","$50,000 ","$75,000 ","$100,000 "
,,"$20,000 [1]",under,under,under,under,under
,,,"$30,000 ","$50,000 ","$75,000 ","$100,000 ","$200,000 "
,-1,-2,-3,-4,-5,-6,-7
UTAH,,,,,,,
Number of returns....................................................................,"847,478","388,651","119,450","163,840","106,241","35,982","24,790"
Number of joint returns.........................................................,"399,582","65,270","57,721","117,508","95,154","33,435","22,806"
Number with paid preparer's signature................................,"382,204","140,735","55,823","84,871","56,771","20,170","16,544"
Number of exemptions [3]........................................................,"1,895,606","483,312","278,194","500,211","380,217","130,665","91,411"
Adjusted gross income (AGI) [4]..............................................,"29,962,297","3,260,506","2,952,843","6,427,662","6,428,851","3,063,554","3,256,442"
Salaries and wages in AGI:  Number...................................,"745,601","329,918","104,636","150,011","98,583","33,153","22,007"
Amount.............................................................................,"22,244,039","2,862,395","2,403,757","5,394,481","5,330,285","2,398,075","2,156,749"
Taxable interest:  Number....................................................,"494,517","154,285","65,853","116,772","91,716","33,582","23,913"
Amount.............................................................................,"869,936","142,234","74,543","125,016","124,635","73,110","106,765"
Tax-exempt interest [5]:Number........................................,"22,315","4,285","2,034",,"39,444,118","2,326","3,174"
Amount.............................................................................,"154,432","12,073","7,114","16,981","20,526","14,067","26,486"
Dividends:  Number..............................................................,"151,866","37,779","16,511","30,916","31,224","15,279","13,960"
Amount.............................................................................,"485,897","48,707","27,051","49,646","58,810","40,620","68,308"
